matchNum,teamNum,teamColor,locations,outcomes,climbLevel,initLinePassed,autonCount,humanPlayerScored,climbTime,brickTime,defenseTime,scouterName,comments
5,7137,blue,[8|2|2|4|9|12],['m'|'m'|'m'|'m'|'m'|'m'],0,False,0,False,25,1,0,Aeliya ,Other robot interfered with climb 
5,1160,red,[12|17|17|3|3|4|4|7|7|17|17],['m'|'u'|'u'|'m'|'m'|'m'|'m'|'u'|'u'|'u'|'u'],2,True,1,False,8,0,0,Ada,Was being pretty effectively defended by 4904 the whole time. They extended their arms for climb before they reached the club structure which saved good time 
5,7137,blue,[7|7|5|5|17|12],['m'|'m'|'m'|'m'|'m'|'m'],0,False,0,False,23,0,0,Saloni Shah,kept shooting either way over the hub or to the side. smooth driving. a different robot with an unsuccessful climb hindered their ability to climb. 
5,1836,blue,[12|12|12|6|7|12|12],['l'|'l'|'l'|'l'|'l'|'m'|'m'],2,True,1,False,41,0,0,shounak,agro driver  climb looked good until hook missed and hung on 1 of 4 telescoping 
5,1836,blue,[13|8|13],['l'|'l'|'m'],2,True,0,False,42,0,0,Deeya,some of the climber hooks failed --> bot hung by thread  mained lower shots  slower 
5,5728,red,[12|18],['m'|'u'],0,False,1,False,0,0,10,Charlie,spent most of the time doing nothing. picked up a ball one time and dropped it. spent an extra 30 seconds prepping for the ladder climb  and it still failed to climb  and did a lot of defense 
5,1160,red,[12|18|18|2|2|4|4|7|7|12|12],['m'|'u'|'u'|'m'|'m'|'m'|'m'|'u'|'u'|'u'|'u'],2,True,11,False,5,0,0,Adheet,small intake  shooter takes time to aim to easily defended  slow and kinda clumsy driving 
5,1836,blue,[13|13|13|8|8|13|13],['l'|'l'|'l'|'l'|'l'|'m'|'m'],0,True,1,False,39,0,0,ethan,climber malfunctioned at beginning of teleop  went for climb early  started mid and went for traversal but hook failed and almost fell but hung on to mid 
5,4904,blue,[7|7],['m'|'u'],0,True,0,False,0,0,6,Sophia Z,Robot takes a long time to set up for shooting and is a bit inconsistent in shooting. Around the middle of the match  the robot’s intake broke and a band fell off. 
6,1678,red,[12|12],['u'|'u'],0,True,2,False,0,121,0,Elena,didn't move for all of teleop 
6,5419,red,[7|9|9],['u'|'u'|'u'],3,False,1,False,34,43,0,Ada,Were trying to get to traversal but their hooks wound up on the wrong side of the bar :/ —also  had a couple bricks 
